C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2024/06/07,04:05:01,0000000422178465,,0000000422178459
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2024/06/06 04:05:00",1,NSW1,0,85.00015,0,85.00015,0,0,6930.75,2,7008.14,154,-76.61,0,,,113.54,,,,,,,,159.54,,,,,,,,111.34,,,,,,,,98,,,,,,,,77,,,,,,,,132.48,,,,,,-2.30151,12141.50455,232,7060.03076,7084.39,,44.67,,,,55,,,,,,,,,,,,,,,,,,,0.8,0.8,0,0.39,0.39,0,0.39,0.39,0,4.22,4.22,0,1,1,0,4.89,4.89,0,0.97,0.97,0,7.5,7.5,0
D,DREGION,,2,"2024/06/06 04:05:00",1,QLD1,0,83.65895,0,83.65895,0,0,5631.08,9,5769.92,0,138.84,0,,,15,,,,,,,,45,,,,,,,,40.83,,,,,,,,18,,,,,,,,97,,,,,,,,98,,,,,,2.35599,9578.46082,49,5620.00488,5631.24,,45,,,,24,,,,,,,,,,,,,,,,,,,0.8,0.8,0,0.39,0.39,0,0.39,0.39,0,4.22,4.22,0,1,1,0,4.89,4.89,0,0.97,0.97,0,7.5,7.5,0
D,DREGION,,2,"2024/06/06 04:05:00",1,SA1,0,97.07582,0,97.07582,0,0,1367.7,-4,958.22,107,-516.48,0,,,98,,,,,,,,155.53,,,,,,,,121,,,,,,,,129.13,,,,,,,,107,,,,,,,,163,,,,,,-8.63098,3017.95791,372,1460.37939,1487.51,,40,,,,45,,,,,,,,,,,,,,,,,,,0.8,0.8,0,0.39,0.39,0,0.39,0.39,0,4.22,4.22,0,1,1,0,4.89,4.89,0,0.97,0.97,0,7.5,7.5,0
D,DREGION,,2,"2024/06/06 04:05:00",1,TAS1,0,150.12,0,150.12,0,0,1120.34,2,682.34,0,-438,0,,,0,,,,,,,,0,,,,,,,,4.38,,,,,,,,82.48,,,,,,,,157.15,,,,,,,,136.66,,,,,,4.63372,2029.42297,0,1113.70154,1120.34,,50,,,,50,,,,,,,,,,,,,,,,,,,6.95,6.95,0,0.39,0.39,0,0.39,0.39,0,6.07,6.07,0,0.82625,0.82625,0,4.89,4.89,0,0,0,0,3.12,3.12,0
D,DREGION,,2,"2024/06/06 04:05:00",1,VIC1,0,83.59565,0,83.59565,0,0,4445.65,3,5513.32,123,944.67,0,,,44,,,,,,,,55,,,,,,,,44,,,,,,,,171,,,,,,,,214.99,,,,,,,,123,,,,,,-15.58075,9256.31893,389,4629.23242,4608.46,,75.95,,,,46,,,,,,,,,,,,,,,,,,,0.8,0.8,0,0.39,0.39,0,0.39,0.39,0,4.22,4.22,0,1,1,0,4.89,4.89,0,0.97,0.97,0,7.5,7.5,0
D,DREGION,,2,"2024/06/06 04:10:00",1,NSW1,0,105.74,0,105.74,0,0,7024.79,10,7048.03,124,-100.76,0,,,97,,,,,,,,195.42,,,,,,,,103,,,,,,,,128,,,,,,,,124,,,,,,,,103,,,,,,0,12152.64208,232,7165.21484,7148.82,,45,,,,33,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.39,0.39,0,0.38,0.38,0,1.5,1.5,0,0.39,0.39,0,3,3,0,0.39,0.39,0,1.5,1.5,0
D,DREGION,,2,"2024/06/06 04:10:00",1,QLD1,0,102.89046,0,102.89046,0,0,5661.94,11,5849.98,0,188.04,0,,,26.63,,,,,,,,58,,,,,,,,58,,,,,,,,18,,,,,,,,97,,,,,,,,96,,,,,,7.72105,9579.6299,49,5643.38281,5662.43,,0,,,,0,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.39,0.39,0,0.38,0.38,0,1.5,1.5,0,0.39,0.39,0,3,3,0,0.39,0.39,0,1.5,1.5,0
D,DREGION,,2,"2024/06/06 04:10:00",1,SA1,0,121.21461,0,121.21461,0,0,1402.34,-1,972.2,96,-526.14,0,,,94,,,,,,,,138,,,,,,,,112,,,,,,,,107,,,,,,,,123,,,,,,,,119.87,,,,,,0,3014.1986,372,1490.22583,1511.66,,10.62,,,,20,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.39,0.39,0,0.38,0.38,0,1.5,1.5,0,0.39,0.39,0,3,3,0,0.39,0.39,0,1.5,1.5,0
D,DREGION,,2,"2024/06/06 04:10:00",1,TAS1,0,150.11,0,150.11,0,0,1117.76,2,679.76,0,-438,0,,,0,,,,,,,,0,,,,,,,,1.76,,,,,,,,84.08,,,,,,,,153.03,,,,,,,,137.01,,,,,,5.09648,2029.49106,0,1110.66406,1117.76,,50,,,,50,,,,,,,,,,,,,,,,,,,6.95,6.95,0,0.39,0.39,0,0.38,0.38,0,6.06,6.06,0,0.39,0.39,0,3,3,0,0,0,0,3.12,3.12,0
D,DREGION,,2,"2024/06/06 04:10:00",1,VIC1,0,104.06605,0,104.06605,0,0,4499.9,1,5509.26,78,931.36,0,,,53,,,,,,,,23,,,,,,,,45.09,,,,,,,,170,,,,,,,,163.85,,,,,,,,205,,,,,,0,9252.26048,389,4638.13916,4618.57,,150,,,,117,,,,,,,,,,,,,,,,,,,0.39,0.39,0,0.39,0.39,0,0.38,0.38,0,1.5,1.5,0,0.39,0.39,0,3,3,0,0.39,0.39,0,1.5,1.5,0
